"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","4.290","8.100","8.390","4.200","48.71M","-49.41%"
"07/01/2025","8.480","7.500","12.800","6.020","120.50M","9.42%"
"06/01/2025","7.750","0.562","12.800","0.540","410.50M","1,247.83%"
"05/01/2025","0.575","0.430","0.660","0.390","9.85M","43.39%"
"04/01/2025","0.401","0.400","0.520","0.261","10.28M","-2.43%"
"03/01/2025","0.411","0.372","0.492","0.331","7.60M","1.08%"
"02/01/2025","0.407","0.351","1.090","0.300","358.59M","15.45%"
"01/01/2025","0.352","0.624","0.840","0.333","21.39M","-44.01%"
"12/01/2024","0.629","0.626","1.660","0.583","163.00M","-1.73%"
"11/01/2024","0.640","0.730","0.970","0.551","8.49M","-11.10%"
"10/01/2024","0.720","0.727","1.120","0.640","28.46M","-3.87%"
"09/01/2024","0.749","0.759","1.250","0.613","4.60M","-1.69%"
"08/01/2024","0.762","1.030","1.080","0.651","716.08K","-26.75%"
"07/01/2024","1.040","1.260","1.450","1.020","1.65M","-17.46%"
"06/01/2024","1.260","1.310","1.330","0.950","818.28K","-1.56%"
"05/01/2024","1.280","1.400","1.500","1.220","1.12M","-5.88%"
"04/01/2024","1.360","1.550","1.850","1.331","1.90M","-14.47%"
"03/01/2024","1.590","1.235","1.750","1.010","1.59M","28.23%"
"02/01/2024","1.240","1.500","2.650","1.120","3.15M","-17.33%"
"01/01/2024","1.500","1.610","1.990","1.450","1.18M","-3.23%"
"12/01/2023","1.550","2.800","3.200","1.490","1.76M","-42.80%"
"11/01/2023","2.710","1.720","3.490","1.700","2.22M","58.48%"
"10/01/2023","1.710","2.220","2.240","1.430","801.03K","-20.83%"
"09/01/2023","2.160","1.810","2.800","1.480","2.69M","16.13%"
