"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","4,398.56","4,392.75","4,491.06","4,362.18","453.19K","0.17%"
"08/01/2025","4,391.11","3,695.36","4,955.90","3,358.01","22.44M","18.73%"
"07/01/2025","3,698.46","2,485.48","3,940.69","2,381.67","22.34M","48.74%"
"06/01/2025","2,486.52","2,526.39","2,877.92","2,115.66","18.25M","-1.64%"
"05/01/2025","2,528.09","1,793.62","2,784.23","1,754.38","24.41M","40.95%"
"04/01/2025","1,793.58","1,822.41","1,953.57","1,388.12","22.24M","-1.56%"
"03/01/2025","1,821.95","2,233.88","2,546.39","1,766.97","19.12M","-18.53%"
"02/01/2025","2,236.41","3,298.69","3,331.28","2,078.68","21.58M","-32.20%"
"01/01/2025","3,298.69","3,337.80","3,742.07","2,943.61","15.81M","-1.17%"
"12/01/2024","3,337.80","3,702.96","4,102.90","3,103.72","18.50M","-9.86%"
"11/01/2024","3,702.97","2,519.14","3,733.47","2,362.91","19.80M","46.99%"
"10/01/2024","2,519.14","2,602.30","2,766.10","2,311.68","9.66M","-3.24%"
"09/01/2024","2,603.48","2,513.06","2,726.69","2,151.80","8.99M","3.58%"
"08/01/2024","2,513.56","3,231.81","3,242.07","2,166.31","13.99M","-22.22%"
"07/01/2024","3,231.84","3,437.84","3,559.66","2,822.44","9.44M","-5.99%"
"06/01/2024","3,437.84","3,762.63","3,885.15","3,245.76","8.25M","-8.63%"
"05/01/2024","3,762.66","3,014.38","3,976.00","2,819.19","12.26M","24.82%"
"04/01/2024","3,014.41","3,647.08","3,727.87","2,863.89","13.48M","-17.35%"
"03/01/2024","3,647.09","3,339.25","4,091.28","3,063.60","18.54M","9.22%"
"02/01/2024","3,339.26","2,283.14","3,520.80","2,240.79","13.12M","46.26%"
"01/01/2024","2,283.14","2,281.89","2,712.88","2,122.78","13.90M","0.05%"
"12/01/2023","2,281.90","2,051.59","2,443.59","2,045.39","12.55M","11.23%"
"11/01/2023","2,051.56","1,815.12","2,135.91","1,779.79","12.42M","13.03%"
"10/01/2023","1,815.13","1,670.92","1,864.81","1,523.78","8.89M","8.63%"
"09/01/2023","1,670.92","1,645.82","1,693.68","1,533.95","6.62M","1.53%"
